batch_id,timestamp,machine_id,product_line,temperature,pressure,cycle_time,vibration,quality_measurement,defect_rate,temperature_tolerance,pressure_tolerance,cycle_time_tolerance,vibration_tolerance,operator_shift,operator_id,raw_material_batch,ambient_temperature,energy_consumption,maintenance_days,production_speed,actual_status,final_outcome,temperature_tolerance_distance,temperature_limit_utilization_pct,pressure_tolerance_distance,pressure_limit_utilization_pct,cycle_time_tolerance_distance,cycle_time_limit_utilization_pct,vibration_tolerance_distance,vibration_limit_utilization_pct,temperature_rolling_mean,temperature_rolling_std,temperature_rolling_z,temperature_drift_flag,pressure_rolling_mean,pressure_rolling_std,pressure_rolling_z,pressure_drift_flag,cycle_time_rolling_mean,cycle_time_rolling_std,cycle_time_rolling_z,cycle_time_drift_flag,vibration_rolling_mean,vibration_rolling_std,vibration_rolling_z,vibration_drift_flag
1,2026-01-01 00:00:00,M-01,Line-B,71.423,97.377,42.459,2.265,50.593,1.186,78.0,108.0,49.0,3.3,Shift-A,OP-005,RM-0003,24.33,84.31,22.0,96.74,Stable,Accepted,6.576999999999998,91.56794871794872,10.623000000000005,90.16388888888889,6.540999999999997,86.65102040816328,1.0349999999999997,68.63636363636364,,,,False,,,,False,,,,False,,,,False
2,2026-01-01 00:15:00,M-05,Line-C,71.973,96.388,40.726,1.602,49.548,0.853,78.0,108.0,49.0,3.3,Shift-A,OP-004,RM-0129,25.44,82.98,16.0,100.18,Stable,Accepted,6.027000000000001,92.27307692307693,11.611999999999995,89.24814814814816,8.274000000000001,83.11428571428571,1.6979999999999997,48.545454545454554,,,,False,,,,False,,,,False,,,,False
3,2026-01-01 00:30:00,M-04,Line-A,68.516,99.486,40.815,1.706,50.771,0.822,78.0,108.0,49.0,3.3,Shift-A,OP-015,RM-0142,24.52,87.97,100.0,102.74,Stable,Accepted,9.483999999999995,87.84102564102565,8.513999999999996,92.11666666666667,8.185000000000002,83.29591836734693,1.5939999999999999,51.696969696969695,,,,False,,,,False,,,,False,,,,False
4,2026-01-01 00:45:00,M-03,Line-B,71.973,102.006,43.145,1.656,48.955,1.538,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0040,26.5,78.13,70.0,93.86,Stable,Accepted,6.027000000000001,92.27307692307693,5.994,94.45,5.854999999999997,88.05102040816327,1.644,50.18181818181818,,,,False,,,,False,,,,False,,,,False
5,2026-01-01 01:00:00,M-03,Line-B,69.668,102.013,41.02,1.918,50.698,0.552,78.0,108.0,49.0,3.3,Shift-A,OP-026,RM-0026,24.99,86.87,88.0,104.41,Stable,Accepted,8.331999999999994,89.31794871794872,5.986999999999995,94.45648148148149,7.979999999999997,83.71428571428572,1.382,58.12121212121212,,,,False,,,,False,,,,False,,,,False
6,2026-01-01 01:15:00,M-06,Line-C,68.309,102.547,39.31,1.496,48.941,1.023,78.0,108.0,49.0,3.3,Shift-A,OP-022,RM-0114,24.14,86.32,38.0,104.66,Stable,Accepted,9.691000000000003,87.57564102564103,5.453000000000003,94.95092592592592,9.689999999999998,80.22448979591837,1.8039999999999998,45.333333333333336,,,,False,,,,False,,,,False,,,,False
7,2026-01-01 01:30:00,M-01,Line-D,70.578,100.668,41.439,1.668,51.249,0.763,78.0,108.0,49.0,3.3,Shift-A,OP-010,RM-0095,25.65,86.48,44.0,105.38,Stable,Accepted,7.421999999999997,90.48461538461538,7.331999999999994,93.21111111111112,7.561,84.56938775510204,1.632,50.54545454545455,,,,False,,,,False,,,,False,,,,False
8,2026-01-01 01:45:00,M-05,Line-D,69.336,100.24,42.885,1.783,52.605,0.949,78.0,108.0,49.0,3.3,Shift-A,OP-017,RM-0014,26.21,87.89,34.0,95.75,Stable,Accepted,8.664000000000001,88.8923076923077,7.760000000000005,92.81481481481481,6.115000000000002,87.5204081632653,1.517,54.03030303030303,,,,False,,,,False,,,,False,,,,False
9,2026-01-01 02:00:00,M-02,Line-C,71.605,100.06,42.7,1.677,49.578,0.674,78.0,108.0,49.0,3.3,Shift-A,OP-006,RM-0106,25.4,87.09,13.0,99.12,Stable,Accepted,6.394999999999996,91.80128205128206,7.939999999999998,92.64814814814815,6.299999999999997,87.14285714285714,1.6229999999999998,50.81818181818182,,,,False,,,,False,,,,False,,,,False
10,2026-01-01 02:15:00,M-01,Line-C,70.204,99.329,43.134,2.038,50.107,0.725,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0097,24.92,83.33,15.0,96.49,Stable,Accepted,7.7960000000000065,90.00512820512819,8.671000000000006,91.97129629629629,5.866,88.02857142857144,1.262,61.75757575757576,,,,False,,,,False,,,,False,,,,False
11,2026-01-01 02:30:00,M-04,Line-C,71.2,97.343,40.819,2.028,48.433,0.957,78.0,108.0,49.0,3.3,Shift-A,OP-023,RM-0028,25.65,86.35,86.0,100.74,Stable,Accepted,6.799999999999997,91.28205128205128,10.656999999999996,90.13240740740741,8.180999999999997,83.30408163265307,1.2719999999999998,61.45454545454546,,,,False,,,,False,,,,False,,,,False
12,2026-01-01 02:45:00,M-06,Line-B,69.591,100.677,41.143,1.711,51.619,0.311,78.0,108.0,49.0,3.3,Shift-A,OP-017,RM-0029,26.17,87.32,106.0,100.89,Stable,Accepted,8.409000000000006,89.21923076923076,7.322999999999993,93.21944444444445,7.856999999999999,83.96530612244898,1.5889999999999997,51.84848484848486,70.36466666666666,1.2928639338751624,-0.5984130629645789,False,99.8445,1.9757567710074584,0.42135753358724926,False,41.63291666666667,1.2109957179064994,-0.4045568943163614,False,1.7956666666666665,0.221668603318038,-0.38195155019401344,False
13,2026-01-01 03:00:00,M-05,Line-A,68.06,100.148,41.529,1.867,49.614,0.733,78.0,108.0,49.0,3.3,Shift-A,OP-016,RM-0025,24.18,93.22,113.0,103.97,Stable,Accepted,9.939999999999998,87.25641025641025,7.852000000000004,92.72962962962963,7.4709999999999965,84.7530612244898,1.4329999999999998,56.57575757575758,70.18738461538462,1.3931194336489112,-1.527065493453413,False,99.86784615384614,1.8935150226564457,0.1479543826173708,False,41.62492307692308,1.1597982914813574,-0.08270668928177191,False,1.801153846153846,0.21315168548627764,0.30891688093356856,False
14,2026-01-01 03:15:00,M-05,Line-C,70.538,98.19,41.272,1.844,51.163,1.326,78.0,108.0,49.0,3.3,Shift-A,OP-015,RM-0068,24.99,81.52,58.0,98.31,Stable,Accepted,7.462000000000003,90.43333333333334,9.810000000000002,90.91666666666667,7.7280000000000015,84.22857142857143,1.4559999999999997,55.87878787878788,70.21242857142857,1.3417420200439631,0.24264830623755407,False,99.748,1.8736815672319074,-0.8315180269941631,False,41.599714285714285,1.1182831228526797,-0.2930512667295782,False,1.8042142857142858,0.20510941866811877,0.19397312197588717,False
15,2026-01-01 03:30:00,M-05,Line-C,68.765,100.943,39.224,1.831,48.881,0.266,78.0,108.0,49.0,3.3,Shift-A,OP-003,RM-0078,23.48,84.98,11.0,102.43,Stable,Accepted,9.235,88.16025641025641,7.057000000000002,93.46574074074074,9.776000000000003,80.04897959183673,1.4689999999999999,55.484848484848484,70.11593333333333,1.345864324867996,-1.0037663591876778,False,99.82766666666666,1.831699003137589,0.608906447742146,False,41.44133333333333,1.2399594847451765,-1.7882304709246362,False,1.806,0.19776934617304645,0.12640988345142795,False
16,2026-01-01 03:45:00,M-05,Line-B,70.063,101.512,40.176,2.479,50.768,0.789,78.0,108.0,49.0,3.3,Shift-A,OP-016,RM-0123,25.93,85.97,76.0,106.25,Stable,Accepted,7.936999999999998,89.82435897435897,6.4879999999999995,93.9925925925926,8.823999999999998,81.99183673469388,0.8209999999999997,75.12121212121214,70.112625,1.3002958060892678,-0.03816439287706582,False,99.9329375,1.8189990826000981,0.8680941706374454,False,41.36225,1.2389779390018747,-0.9574423907463991,False,1.8480625,0.2545844899046288,2.478302980029769,False
17,2026-01-01 04:00:00,M-04,Line-D,72.78,98.979,41.079,2.039,49.006,1.439,78.0,108.0,49.0,3.3,Shift-A,OP-011,RM-0030,23.63,80.7,91.0,103.46,Stable,Accepted,5.219999999999999,93.30769230769232,9.021,91.64722222222223,7.920999999999999,83.83469387755102,1.2609999999999997,61.78787878787879,70.26952941176471,1.415492498993156,1.7735668610190434,False,99.87682352941177,1.7763697614550198,-0.5054260373563001,False,41.345588235294116,1.2016006542745143,-0.22186092721052342,False,1.8592941176470588,0.25081262047240627,0.7164945767659732,False
18,2026-01-01 04:15:00,M-01,Line-C,69.776,104.158,42.445,1.906,50.338,0.989,78.0,108.0,49.0,3.3,Shift-A,OP-011,RM-0020,24.87,87.76,37.0,100.21,Warning,Accepted,8.224000000000004,89.45641025641025,3.8419999999999987,96.44259259259259,6.555,86.62244897959184,1.394,57.757575757575765,70.24211111111111,1.3781476011144538,-0.33821566770801076,False,100.11466666666666,1.9970280271384453,2.0246753066991534,False,41.406666666666666,1.194178575669583,0.8694958647630521,False,1.8618888888888891,0.2435728877235456,0.18110025103112762,False
19,2026-01-01 04:30:00,M-06,Line-B,71.18,101.28,41.919,2.146,50.002,1.631,78.0,108.0,49.0,3.3,Shift-A,OP-005,RM-0006,24.91,83.53,106.0,97.78,Stable,Accepted,6.819999999999993,91.25641025641028,6.719999999999999,93.77777777777779,7.081000000000003,85.54897959183673,1.154,65.03030303030303,70.29147368421053,1.3564922643192268,0.6550176061898852,False,100.176,1.9590896979067713,0.5635270305283061,False,41.43363157894737,1.1664698029394456,0.41610028809106125,False,1.8768421052631576,0.24552014245449844,1.0962762242072441,False
20,2026-01-01 04:45:00,M-03,Line-A,69.657,102.292,40.901,2.509,48.592,1.533,78.0,108.0,49.0,3.3,Shift-A,OP-009,RM-0025,26.2,88.28,47.0,99.95,Stable,Accepted,8.343000000000004,89.30384615384614,5.707999999999998,94.71481481481482,8.098999999999997,83.47142857142858,0.7909999999999999,76.03030303030303,70.25975,1.3279131183929194,-0.4539077080053751,False,100.2818,1.9646637210581626,1.0231776453414172,False,41.407,1.1415880905217308,-0.44324218533914456,False,1.9084499999999998,0.2776484856413724,2.1629867658479034,False
21,2026-01-01 05:00:00,M-04,Line-A,70.189,99.761,42.052,1.777,51.641,0.403,78.0,108.0,49.0,3.3,Shift-A,OP-008,RM-0006,26.11,92.07,118.0,99.74,Stable,Accepted,7.811000000000007,89.98589743589743,8.239000000000004,92.3712962962963,6.948,85.8204081632653,1.523,53.848484848484844,70.25638095238095,1.2943816854463968,-0.05205647850133189,False,100.25699999999999,1.918286787735348,-0.25856404953169315,False,41.437714285714286,1.1215493365366112,0.5477117183116104,False,1.902190476190476,0.2721342718305835,-0.4600320104790517,False
22,2026-01-01 05:15:00,M-03,Line-B,67.513,102.112,43.384,1.639,50.184,0.496,78.0,108.0,49.0,3.3,Shift-A,OP-010,RM-0094,24.59,82.7,16.0,98.18,Stable,Accepted,10.486999999999995,86.55512820512821,5.888000000000005,94.54814814814814,5.616,88.53877551020408,1.6609999999999998,49.66666666666667,70.13168181818182,1.3920269697155978,-1.881200490473852,False,100.34131818181818,1.913375212409527,0.9254232032994624,False,41.52618181818182,1.1705371838183083,1.5871500773328306,False,1.8902272727272729,0.2714390103939306,-0.9255385670713834,False
