batch_id,timestamp,machine_id,product_line,temperature,pressure,cycle_time,vibration,quality_measurement,defect_rate,temperature_tolerance,pressure_tolerance,cycle_time_tolerance,vibration_tolerance,operator_shift,operator_id,raw_material_batch,ambient_temperature,energy_consumption,maintenance_days,production_speed,actual_status,final_outcome
7173,2026-03-16 17:00:00,M-06,Line-B,70.355,101.008,41.196,1.524,49.052,0.84,78.0,108.0,49.0,3.3,Shift-C,OP-002,RM-0094,24.73,89.8,81,99.61,Stable,Accepted
3533,2026-02-06 19:00:00,M-01,Line-D,68.145,97.744,43.248,1.889,49.463,0.938,78.0,108.0,49.0,3.3,Shift-C,OP-013,RM-0059,27.95,84.66,95,96.74,Stable,Accepted
8157,2026-03-26 23:00:00,M-01,Line-A,68.747,98.158,40.021,2.002,50.378,0.506,78.0,108.0,49.0,3.3,Shift-C,OP-021,RM-0053,22.38,80.3,10,97.58,Stable,Accepted
14405,2026-05-31 01:00:00,M-06,Line-A,74.347,104.482,43.383,3.423,46.077,3.767,78.0,108.0,49.0,3.3,Shift-A,OP-007,RM-0116,25.1,89.79,63,97.19,Critical,Rejected
380,2026-01-04 22:45:00,M-02,Line-D,70.76,101.084,42.198,1.843,50.846,0.866,78.0,108.0,49.0,3.3,Shift-C,OP-002,RM-0071,27.28,87.09,105,97.49,Stable,Accepted
5598,2026-02-28 07:15:00,M-05,Line-A,70.085,102.319,40.619,1.641,50.489,0.662,78.0,108.0,49.0,3.3,Shift-A,OP-019,RM-0112,24.08,82.39,44,101.61,Stable,Accepted
3959,2026-02-11 05:30:00,M-01,Line-D,67.961,101.546,42.484,1.819,49.277,0.705,78.0,108.0,49.0,3.3,Shift-A,OP-020,RM-0021,27.0,82.48,58,97.75,Stable,Accepted
11145,2026-04-27 02:00:00,M-05,Line-C,74.954,102.257,40.643,2.857,45.787,3.294,78.0,108.0,49.0,3.3,Shift-A,OP-018,RM-0037,23.01,85.92,89,101.12,Warning,Rework
1796,2026-01-19 16:45:00,M-02,Line-B,70.45,105.587,42.522,1.645,46.623,1.365,78.0,108.0,49.0,3.3,Shift-C,OP-001,RM-0041,22.71,82.34,51,99.44,Warning,Accepted
11958,2026-05-05 13:15:00,M-01,Line-D,70.323,98.429,43.388,2.735,50.135,1.578,78.0,108.0,49.0,3.3,Shift-B,OP-012,RM-0109,26.52,81.71,94,100.27,Warning,Accepted
11698,2026-05-02 20:15:00,M-01,Line-C,71.722,103.63,42.767,2.563,49.16,1.421,78.0,108.0,49.0,3.3,Shift-C,OP-030,RM-0119,25.8,88.49,88,100.96,Stable,Accepted
14171,2026-05-28 14:30:00,M-05,Line-B,73.696,102.775,44.218,3.335,45.13,3.45,78.0,108.0,49.0,3.3,Shift-B,OP-014,RM-0024,22.85,88.8,115,97.1,Critical,Rejected
6671,2026-03-11 11:30:00,M-02,Line-D,68.947,102.569,42.237,1.851,49.3,0.527,78.0,108.0,49.0,3.3,Shift-B,OP-004,RM-0072,28.06,85.74,35,99.07,Stable,Accepted
9844,2026-04-13 12:45:00,M-01,Line-C,70.827,102.446,41.953,2.557,51.191,0.965,78.0,108.0,49.0,3.3,Shift-B,OP-025,RM-0090,26.68,87.07,118,98.85,Stable,Accepted
14141,2026-05-28 07:00:00,M-01,Line-C,73.473,103.175,44.469,3.147,45.258,3.42,78.0,108.0,49.0,3.3,Shift-A,OP-010,RM-0078,23.64,83.52,38,97.4,Warning,Rework
14124,2026-05-28 02:45:00,M-01,Line-D,71.867,105.044,46.235,3.034,45.373,3.137,78.0,108.0,49.0,3.3,Shift-A,OP-015,RM-0064,23.44,87.98,119,95.03,Warning,Rework
1227,2026-01-13 18:30:00,M-01,Line-D,69.973,100.648,41.263,1.983,53.145,0.996,78.0,108.0,49.0,3.3,Shift-C,OP-016,RM-0095,26.8,86.16,32,97.73,Stable,Accepted
3450,2026-02-05 22:15:00,M-03,Line-A,,99.198,40.868,1.735,50.232,0.889,78.0,108.0,49.0,3.3,Shift-C,OP-019,RM-0137,26.74,87.29,118,99.95,Stable,Accepted
7317,2026-03-18 05:00:00,M-05,Line-C,71.001,102.985,43.026,2.368,51.721,1.072,78.0,108.0,49.0,3.3,Shift-A,OP-028,RM-0139,23.92,88.38,86,95.95,Stable,Accepted
9894,2026-04-14 01:15:00,M-04,Line-A,72.449,101.291,42.919,2.625,46.922,1.279,78.0,108.0,49.0,3.3,Shift-A,OP-014,RM-0024,25.75,84.04,30,100.62,Warning,Accepted
8848,2026-04-03 03:45:00,M-02,Line-D,73.025,99.147,42.628,2.364,48.807,1.209,78.0,108.0,49.0,3.3,Shift-A,OP-025,RM-0094,26.02,86.97,112,95.67,Stable,Accepted
4418,2026-02-16 00:15:00,M-01,Line-C,68.692,97.091,40.838,1.685,50.523,0.807,78.0,108.0,49.0,3.3,Shift-A,OP-017,RM-0107,23.34,79.32,33,102.64,Stable,Accepted
8206,2026-03-27 11:15:00,M-04,Line-A,71.189,100.645,44.621,2.023,49.9,1.368,78.0,108.0,49.0,3.3,Shift-B,OP-008,RM-0092,21.45,93.14,77,94.76,Stable,Accepted
7182,2026-03-16 19:15:00,M-05,Line-C,70.262,97.749,39.548,1.958,50.261,0.655,78.0,108.0,49.0,3.3,Shift-C,OP-013,RM-0150,25.38,92.94,113,102.64,Stable,Accepted
14019,2026-05-27 00:30:00,M-04,Line-B,73.07,102.753,45.136,2.647,48.468,3.193,78.0,108.0,49.0,3.3,Shift-A,OP-027,RM-0116,24.31,88.6,74,98.49,Warning,Rework
9539,2026-04-10 08:30:00,M-04,Line-A,74.84,101.195,40.097,2.327,47.224,2.563,78.0,108.0,49.0,3.3,Shift-B,OP-003,RM-0077,28.26,97.33,22,104.43,Warning,Accepted
4685,2026-02-18 19:00:00,M-04,Line-C,71.519,99.3,40.972,2.161,49.414,1.078,78.0,108.0,49.0,3.3,Shift-C,OP-029,RM-0052,25.12,92.07,117,102.91,Stable,Accepted
